anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,neutral,PublishedAt,,Sentiment,Sum,score( % )
0,0,0,0,0,0,0,0,0,0,1,8/10/2017,,,,
0,1,0,1,2,2,1,0,1,2,0,8/3/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/2/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,10/24/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/2/2017,,,,
0,0,0,0,0,0,0,0,0,1,0,8/2/2017,,,,
0,1,0,0,1,0,0,0,0,0,1,8/2/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/2/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/2/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/2/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/2/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/1/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/1/2017,,,,
0,0,0,0,2,0,0,1,0,3,0,8/3/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/1/2017,,,,
0,1,0,0,1,1,1,2,0,1,0,2/8/2018,,,,
0,0,0,0,0,0,0,0,0,0,1,8/1/2017,,,,
1,2,0,2,2,2,0,2,2,3,0,8/1/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/2/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/1/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/1/2017,,,,
0,0,0,0,0,0,0,0,0,0,1,8/1/2017,,,,
